rank,country,national cyber security index,digital development level,difference
145.,Afghanistan,12.99,19.50,-6.51
52.,Albania,62.34,48.74,13.60
100.,Algeria,33.77,42.81,-9.04
80.,Andorra,46.75,,
156.,Angola,9.09,22.69,-13.60
148.,Antigua and Barbuda,11.69,57.10,-45.41
49.,Argentina,63.64,60.43,3.21
96.,Armenia,35.06,55.06,-20.00
41.,Australia,66.23,77.61,-11.38
12.,Austria,85.71,75.76,9.95
53.,Azerbaijan,61.04,54.78,6.26
129.,Bahamas,20.78,65.10,-44.32
62.,Bahrain,57.14,65.17,-8.03
35.,Bangladesh,67.53,33.11,34.42
134.,Barbados,19.48,73.10,-53.62
70.,Belarus,53.25,62.33,-9.08
1.,Belgium,94.81,74.07,20.74
136.,Belize,18.18,37.10,-18.92
57.,Benin,58.44,25.83,32.61
121.,Bhutan,23.38,36.90,-13.52
105.,Bolivia,31.17,42.09,-10.92
112.,Bosnia and Herzegovina,28.57,49.31,-20.74
108.,Botswana,29.87,41.96,-12.09
71.,Brazil,51.95,59.11,-7.16
88.,Brunei Darussalam,41.56,67.50,-25.94
28.,Bulgaria,74.03,62.06,11.97
102.,Burkina Faso,33.77,,
159.,Burundi,7.79,18.64,-10.85
120.,Cambodia,23.38,34.59,-11.21
104.,Cameroon,32.47,28.28,4.19
33.,Canada,70.13,75.96,-5.83
126.,Chad,20.78,17.28,3.50
55.,Chile,59.74,61.44,-1.70
72.,China,51.95,62.41,-10.46
69.,Colombia,53.25,52.08,1.17
166.,Congo (Democratic Republic of the),5.19,18.91,-13.72
77.,Costa Rica,49.35,58.87,-9.52
82.,Côte d'Ivoire,44.16,33.54,10.62
18.,Croatia,83.12,64.63,18.49
139.,Cuba,16.88,29.10,-12.22
40.,Cyprus,66.23,68.83,-2.60
4.,Czech Republic,90.91,69.21,21.70
17.,Denmark,84.42,82.68,1.74
169.,Dominica,3.90,56.90,-53.00
29.,Dominican Republic,71.43,45.21,26.22
67.,Ecuador,53.25,45.57,7.68
60.,Egypt,57.14,46.93,10.21
119.,El Salvador,24.68,39.17,-14.49
3.,Estonia,93.51,75.59,17.92
103.,Ethiopia,32.47,20.70,11.77
144.,Fiji,14.29,44.90,-30.61
13.,Finland,85.71,78.35,7.36
15.,France,84.42,77.29,7.13
150.,Gambia,11.69,,
43.,Georgia,64.94,53.50,11.44
5.,Germany,90.91,80.01,10.90
79.,Ghana,46.75,40.68,6.07
7.,Greece,89.61,64.02,25.59
128.,Grenada,20.78,58.00,-37.22
118.,Guatemala,24.68,35.43,-10.75
155.,Guyana,10.39,42.91,-32.52
160.,Haiti,7.79,26.46,-18.67
122.,Honduras,22.08,35.09,-13.01
36.,Hungary,67.53,64.25,3.28
64.,Iceland,55.84,78.64,-22.80
54.,India,59.74,40.02,19.72
48.,Indonesia,63.64,47.41,16.23
133.,Iran (Islamic Republic of),19.48,51.04,-31.56
165.,Iraq,6.49,,
26.,Ireland,75.32,75.18,0.14
38.,Israel,67.53,75.50,-7.97
23.,Italy,79.22,67.26,11.96
87.,Jamaica,41.56,48.18,-6.62
50.,Japan,63.64,78.69,-15.05
113.,Jordan,28.57,54.07,-25.50
78.,Kazakhstan,48.05,60.18,-12.13
86.,Kenya,41.56,37.14,4.42
167.,Kiribati,5.19,21.70,-16.51
34.,Korea (Republic of),68.83,82.23,-13.40
98.,Kuwait,35.06,,
91.,Kyrgyzstan,37.66,42.96,-5.30
135.,Lao PDR,18.18,32.37,-14.19
25.,Latvia,75.32,66.23,9.09
130.,Liberia,19.48,,
154.,Libya,10.39,41.10,-30.71
106.,Liechtenstein,31.17,,
2.,Lithuania,93.51,67.34,26.17
42.,Luxembourg,66.23,78.40,-12.17
143.,Madagascar,14.29,22.80,-8.51
114.,Malawi,27.27,23.20,4.07
22.,Malaysia,79.22,62.19,17.03
131.,Mali,19.48,26.00,-6.52
